[INFO ] [044421.834.826]   Aligning...
[DEBUG] [044423.795.616]   940000 <0.0168104 0.0110359 4.25111> <5.828 -0.436469 0.780374>
[DEBUG] [044423.815.617]   960000 <0.0180494 0.0118684 4.39356> <5.94205 -0.453112 0.811116>
[DEBUG] [044423.835.616]   980000 <0.0193432 0.0127395 4.53622> <6.05573 -0.469976 0.842315>
[DEBUG] [044423.855.618]   1000000 <0.0206923 0.0136495 4.67897> <6.16904 -0.487054 0.873966>
[DEBUG] [044423.875.615]   1020000 <0.0220967 0.0145988 4.82168> <6.28199 -0.504343 0.906058>
[DEBUG] [044423.895.617]   1040000 <0.0235568 0.0155876 4.96425> <6.39457 -0.521838 0.938583>
[DEBUG] [044423.915.618]   1060000 <0.0250727 0.0166162 5.10654> <6.50679 -0.539533 0.971534>
[DEBUG] [044423.935.635]   1080000 <0.0266444 0.0176846 5.24845> <6.61865 -0.557424 1.0049>
[DEBUG] [044423.955.617]   1100000 <0.0282719 0.018793 5.38985> <6.73015 -0.575506 1.03868>
[DEBUG] [044423.975.617]   1120000 <0.0299549 0.0199413 5.53063> <6.84129 -0.593774 1.07285>
[DEBUG] [044423.995.616]   1140000 <0.0316934 0.0211297 5.67068> <6.95208 -0.612223 1.10742>
[DEBUG] [044424.015.618]   1160000 <0.0334869 0.0223578 5.80989> <7.0625 -0.630849 1.14236>
[DEBUG] [044424.035.617]   1180000 <0.0353352 0.0236258 5.94814> <7.17258 -0.649647 1.17768>
[DEBUG] [044424.055.618]   1200000 <0.0372378 0.0249332 6.08533> <7.2823 -0.668612 1.21337>
[DEBUG] [044424.075.619]   1220000 <0.0391942 0.0262799 6.22135> <7.39167 -0.68774 1.24942>
[DEBUG] [044424.095.617]   1240000 <0.0412037 0.0276655 6.35609> <7.50069 -0.707025 1.28581>
[DEBUG] [044424.115.616]   1260000 <0.0432658 0.0290898 6.48945> <7.60936 -0.726464 1.32254>
[DEBUG] [044424.135.618]   1280000 <0.0453798 0.0305522 6.62134> <7.71769 -0.746052 1.3596>
[DEBUG] [044424.155.631]   1300000 <0.0475448 0.0320524 6.75164> <7.82567 -0.765784 1.39699>
[DEBUG] [044424.175.619]   1320000 <0.04976 0.0335899 6.88028> <7.9333 -0.785655 1.43469>
[DEBUG] [044424.195.619]   1340000 <0.0520246 0.035164 7.00714> <8.0406 -0.805662 1.47269>
[DEBUG] [044424.215.619]   1360000 <0.0543376 0.0367742 7.13214> <8.14755 -0.825801 1.51099>
[DEBUG] [044424.235.617]   1380000 <0.0566981 0.03842 7.25518> <8.25416 -0.846065 1.54958>
[DEBUG] [044424.255.619]   1400000 <0.059105 0.0401006 7.37619> <8.36043 -0.866452 1.58846>
[DEBUG] [044424.275.635]   1420000 <0.0615573 0.0418153 7.49507> <8.46636 -0.886957 1.6276>
[DEBUG] [044424.295.619]   1440000 <0.0640539 0.0435635 7.61175> <8.57196 -0.907575 1.667>
[DEBUG] [044424.315.617]   1460000 <0.0665937 0.0453443 7.72613> <8.67722 -0.928303 1.70666>
[DEBUG] [044424.335.617]   1480000 <0.0691755 0.0471572 7.83815> <8.78215 -0.949136 1.74657>
[DEBUG] [044424.355.617]   1500000 <0.0717983 0.0490011 7.94772> <8.88674 -0.97007 1.78672>
[DEBUG] [044424.375.619]   1520000 <0.0744608 0.0508755 8.05478> <8.99101 -0.9911 1.82709>
[DEBUG] [044424.395.616]   1540000 <0.0771619 0.0527794 8.15926> <9.09494 -1.01222 1.86769>
[DEBUG] [044424.415.618]   1560000 <0.0799004 0.0547121 8.26109> <9.19855 -1.03344 1.90849>
[DEBUG] [044424.435.617]   1580000 <0.0826753 0.0566727 8.3602> <9.30182 -1.05473 1.94951>
[DEBUG] [044424.455.618]   1600000 <0.0854852 0.0586605 8.45653> <9.40478 -1.07611 1.99072>
[DEBUG] [044424.475.617]   1620000 <0.0883291 0.0606747 8.55003> <9.5074 -1.09756 2.03211>
[DEBUG] [044424.495.619]   1640000 <0.0912059 0.0627144 8.64063> <9.6097 -1.11909 2.07369>
[DEBUG] [044424.515.617]   1660000 <0.0941145 0.0647789 8.7283> <9.71168 -1.14068 2.11544>
[DEBUG] [044424.535.617]   1680000 <0.0970538 0.0668674 8.81296> <9.81334 -1.16234 2.15735>
[DEBUG] [044424.555.619]   1700000 <0.100023 0.0689792 8.89459> <9.91467 -1.18407 2.19942>
[DEBUG] [044424.575.623]   1720000 <0.103021 0.0711137 8.97313> <10.0157 -1.20584 2.24163>
[DEBUG] [044424.595.618]   1740000 <0.106046 0.0732701 9.04855> <10.1164 -1.22768 2.28399>
[DEBUG] [044424.615.619]   1760000 <0.109099 0.0754478 9.1208> <10.2168 -1.24956 2.32647>
[DEBUG] [044424.635.619]   1780000 <0.112177 0.0776462 9.18984> <10.3168 -1.27149 2.36908>
[DEBUG] [044424.655.622]   1800000 <0.115281 0.0798649 9.25566> <10.4166 -1.29346 2.4118>
[DEBUG] [044424.675.636]   1820000 <0.11841 0.0821034 9.31822> <10.516 -1.31547 2.45463>
[DEBUG] [044424.695.620]   1840000 <0.121563 0.0843611 9.37748> <10.6151 -1.33751 2.49756>
[DEBUG] [044424.715.619]   1860000 <0.12474 0.0866379 9.43344> <10.7139 -1.35959 2.54058>
[DEBUG] [044424.735.620]   1880000 <0.127939 0.0889333 9.48606> <10.8124 -1.38169 2.58368>
[DEBUG] [044424.755.619]   1900000 <0.131162 0.0912472 9.53533> <10.9106 -1.40382 2.62686>
[DEBUG] [044424.775.620]   1920000 <0.134407 0.0935795 9.58124> <11.0085 -1.42597 2.67011>
[DEBUG] [044424.795.619]   1940000 <0.137675 0.09593 9.62378> <11.1061 -1.44814 2.71342>
[DEBUG] [044424.815.620]   1960000 <0.140965 0.0982989 9.66293> <11.2033 -1.47032 2.75678>
[DEBUG] [044424.835.619]   1980000 <0.144278 0.100686 9.69869> <11.3003 -1.49251 2.80019>
[DEBUG] [044424.855.619]   2000000 <0.147614 0.103092 9.73106> <11.3969 -1.51472 2.84363>
[DEBUG] [044424.875.619]   2020000 <0.150973 0.105517 9.76004> <11.4933 -1.53692 2.8871>
[DEBUG] [044424.895.620]   2040000 <0.154355 0.107962 9.78562> <11.5893 -1.55913 2.9306>
[DEBUG] [044424.915.622]   2060000 <0.157762 0.110426 9.80783> <11.6851 -1.58134 2.97411>
[DEBUG] [044424.935.620]   2080000 <0.161193 0.112911 9.82665> <11.7805 -1.60354 3.01764>
[DEBUG] [044424.955.619]   2100000 <0.16465 0.115418 9.84212> <11.8756 -1.62573 3.06116>
[DEBUG] [044424.975.620]   2120000 <0.168134 0.117946 9.85424> <11.9705 -1.64791 3.10467>
[DEBUG] [044424.995.637]   2140000 <0.171646 0.120498 9.86302> <12.065 -1.67008 3.14817>
[DEBUG] [044425.015.621]   2160000 <0.175186 0.123075 9.86849> <12.1593 -1.69223 3.19165>
[DEBUG] [044425.035.619]   2180000 <0.178758 0.125677 9.87067> <12.2532 -1.71436 3.23511>
[DEBUG] [044425.055.620]   2200000 <0.182361 0.128306 9.86958> <12.3469 -1.73647 3.27853>
[DEBUG] [044425.075.618]   2220000 <0.185999 0.130964 9.86525> <12.4402 -1.75855 3.3219>
[DEBUG] [044425.095.621]   2240000 <0.189672 0.133653 9.85771> <12.5333 -1.78061 3.36523>
[DEBUG] [044425.115.619]   2260000 <0.193383 0.136373 9.847> <12.626 -1.80263 3.4085>
[DEBUG] [044425.135.619]   2280000 <0.197134 0.139128 9.83314> <12.7185 -1.82461 3.45172>
[DEBUG] [044425.155.618]   2300000 <0.200928 0.141919 9.81618> <12.8107 -1.84656 3.49486>
