freq z1h z2h zpidg(0..3) hpidg(0..3) ppidg(0..3) rpidg(0..3) gz_rc gz_wam maxmrate mg
100 0 0 0 0 1 0 0 0 0.3 0 1 0 0.5 0 1 0 0.5 0 0.1 0.65 500 41

time      z1             z2             dz             hdg    pitch  roll   cal tz   th   tp   tr   zov         hov         pov         rov         m1  m2  m3  m4  err       
1.160     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00362    0           -4          3           48  40  34  42  000000000 
1.170     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00324    0           -4          3           48  40  34  42  000000000 
1.180     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00305    0           -4          3           48  40  34  42  000000000 
1.190     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00267    0           -4          3           48  40  34  42  000000000 
1.200     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00248    0           -4          3           48  40  34  42  000000000 
1.210     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00229    0           -4          3           48  40  34  42  000000000 
1.220     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0021     0           -4          3           48  40  34  42  000000000 
1.230     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00191    0           -4          3           48  40  34  42  000000000 
1.240     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00172    0           -4          3           48  40  34  42  000000000 
1.250     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00153    0           -4          3           48  40  34  42  000000000 
1.260     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00134    0           -4          3           48  40  34  42  000000000 
1.270     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00134    0           -4          3           48  40  34  42  000000000 
1.280     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00114    0           -4          3           48  40  34  42  000000000 
1.290     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000954   0           -4          3           48  40  34  42  000000000 
1.300     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000954   0           -4          3           48  40  34  42  000000000 
1.310     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000763   0           -4          3           48  40  34  42  000000000 
1.320     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000763   0           -4          3           48  40  34  42  000000000 
1.330     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000763   0           -4          3           48  40  34  42  000000000 
1.340     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000572   0           -4          3           48  40  34  42  000000000 
1.350     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000572   0           -4          3           48  40  34  42  000000000 
1.360     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000572   0           -4          3           48  40  34  42  000000000 
1.370     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000572   0           -4          3           48  40  34  42  000000000 
1.380     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000381   0           -4          3           48  40  34  42  000000000 
1.390     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000381   0           -4          3           48  40  34  42  000000000 
1.400     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000381   0           -4          3           48  40  34  42  000000000 
1.410     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000381   0           -4          3           48  40  34  42  000000000 
1.420     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000381   0           -4          3           48  40  34  42  000000000 
1.430     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.440     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.450     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.460     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.470     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.480     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.490     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.500     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.510     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.520     25             19             22.9           10     4      -3     0   0    150  0    0    -0.000191   0           -4          3           48  40  34  42  000000000 
1.530     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.540     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.550     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.560     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.570     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.580     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.590     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.600     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.610     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.620     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.630     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.640     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.650     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.660     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.670     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.680     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.690     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.700     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.710     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.720     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.730     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.740     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.750     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.760     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.770     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.780     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.790     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.800     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.810     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.820     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.830     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.840     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.850     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.860     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.870     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
